date,price
19/10/1994,16.275
20/10/1994,16.575
21/10/1994,16.35
24/10/1994,16.475
25/10/1994,16.475
26/10/1994,16.875
27/10/1994,17.075
28/10/1994,17.175
31/10/1994,17.125
01/11/1994,17.45
02/11/1994,17.575
03/11/1994,17.75
04/11/1994,18.05
07/11/1994,17.775
08/11/1994,17.375
09/11/1994,17.55
10/11/1994,17.175
11/11/1994,17.425
14/11/1994,17.25
15/11/1994,16.975
16/11/1994,16.75
17/11/1994,16.525
18/11/1994,16.5
21/11/1994,17.25
22/11/1994,17.2
23/11/1994,16.925
24/11/1994,16.95
25/11/1994,17
28/11/1994,17
29/11/1994,16.925
30/11/1994,17.025
01/12/1994,16.975
02/12/1994,16.4
05/12/1994,15.925
06/12/1994,16.05
07/12/1994,15.875
08/12/1994,16.125
09/12/1994,16.075
12/12/1994,15.975
13/12/1994,15.675
14/12/1994,15.775
15/12/1994,15.6
16/12/1994,15.475
19/12/1994,15.575
20/12/1994,15.725
21/12/1994,15.575
22/12/1994,15.6
23/12/1994,15.55
28/12/1994,16.225
29/12/1994,16.125
30/12/1994,16.225
03/01/1995,15.875
04/01/1995,15.825
05/01/1995,16.1
06/01/1995,16.175
09/01/1995,16.075
10/01/1995,16
11/01/1995,16.4
12/01/1995,16.475
13/01/1995,16.2
16/01/1995,16.375
17/01/1995,16.875
18/01/1995,17.15
19/01/1995,17.175
20/01/1995,17.225
23/01/1995,17.05
24/01/1995,17.15
25/01/1995,16.975
26/01/1995,16.725
27/01/1995,16.375
30/01/1995,16.675
31/01/1995,16.9
01/02/1995,17.1
02/02/1995,17.075
03/02/1995,17.4
06/02/1995,17.125
07/02/1995,17
08/02/1995,17.025
09/02/1995,16.85
10/02/1995,16.95
13/02/1995,16.85
14/02/1995,17.075
15/02/1995,17
16/02/1995,17.175
17/02/1995,17.4
20/02/1995,17.425
21/02/1995,17.225
22/02/1995,17.1
23/02/1995,17.1
24/02/1995,17.1
27/02/1995,17.35
28/02/1995,17.2
01/03/1995,16.85
02/03/1995,16.475
03/03/1995,16.725
06/03/1995,16.75
07/03/1995,16.85
08/03/1995,16.725
09/03/1995,16.55
10/03/1995,16.5
13/03/1995,16.4
14/03/1995,16.325
15/03/1995,16.4
16/03/1995,16.5
17/03/1995,16.55
20/03/1995,16.825
21/03/1995,16.8
22/03/1995,17.325
23/03/1995,17.475
24/03/1995,17.65
27/03/1995,17.875
28/03/1995,17.775
29/03/1995,18.025
30/03/1995,17.975
31/03/1995,18.025
03/04/1995,17.875
04/04/1995,18.025
05/04/1995,18.5
06/04/1995,18.85
07/04/1995,18.55
10/04/1995,18.175
11/04/1995,18.625
12/04/1995,18.375
13/04/1995,17.875
18/04/1995,18.6
19/04/1995,18.825
20/04/1995,19
21/04/1995,19.35
24/04/1995,19.05
25/04/1995,19.2
26/04/1995,18.9
27/04/1995,19.25
28/04/1995,19.1
01/05/1995,19.225
02/05/1995,18.625
03/05/1995,18.375
04/05/1995,18.725
05/05/1995,18.85
09/05/1995,18.05
10/05/1995,18.175
11/05/1995,17.95
12/05/1995,18.35
15/05/1995,18.6
16/05/1995,18.575
17/05/1995,18.525
18/05/1995,18.325
19/05/1995,18.425
22/05/1995,18.875
23/05/1995,18.475
24/05/1995,18.3
25/05/1995,18.075
26/05/1995,17.375
30/05/1995,17.425
31/05/1995,17.575
01/06/1995,17.725
02/06/1995,17.8
05/06/1995,18.3
06/06/1995,17.95
07/06/1995,18.1
08/06/1995,17.95
09/06/1995,17.8
12/06/1995,17.7
13/06/1995,17.85
14/06/1995,17.75
15/06/1995,17.95
16/06/1995,17.8
19/06/1995,17.05
20/06/1995,16.975
21/06/1995,16.5
