date,ask,bid
7/14/2017,48.16,48.14
7/13/2017,47.6,47.58
7/12/2017,46.66,46.64
7/11/2017,47.92,47.9
7/10/2017,46.31,46.29
7/7/2017,46.3,46.28
7/6/2017,47.5,47.48
7/5/2017,47.82,47.8
7/4/2017,49.07,49.05
7/3/2017,49.07,49.05
6/30/2017,47.23,47.21
6/29/2017,46.78,46.76
6/28/2017,46.79,46.77
6/27/2017,45.47,45.45
6/26/2017,44.55,44.53
6/23/2017,44.11,44.09
6/22/2017,44.07,44.05
6/21/2017,43.74,43.72
6/20/2017,44.34,44.32
6/19/2017,45.52,45.5
6/16/2017,45.9,45.88
6/15/2017,45.49,45.47
6/14/2017,45.62,45.6
6/13/2017,47.05,47.03
6/12/2017,46.69,46.67
6/9/2017,46.5,46.48
6/8/2017,46.29,46.27
6/7/2017,46.92,46.9
6/6/2017,48.88,48.86
6/5/2017,48.67,48.65
6/2/2017,48.61,48.59
6/1/2017,49.52,49.5
5/31/2017,50.14,50.12
5/30/2017,51.12,51.1
5/26/2017,51.3,51.28
5/25/2017,50.68,50.66
5/24/2017,53.12,53.1
5/23/2017,53.28,53.26
5/22/2017,53.28,53.26
5/19/2017,52.87,52.85
5/18/2017,51.68,51.66
5/17/2017,51.5,51.48
5/16/2017,50.62,50.6
5/15/2017,51.01,50.99
5/12/2017,49.33,49.31
5/11/2017,49.03,49.01
5/10/2017,48.32,48.3
5/9/2017,47.27,47.25
5/8/2017,47.46,47.44
5/5/2017,47.32,47.3
5/4/2017,46.88,46.86
5/3/2017,49.12,49.1
5/2/2017,49.1,49.08
5/1/2017,,
4/28/2017,50.42,50.4
4/27/2017,50.52,50.5
4/26/2017,49.21,49.19
4/25/2017,49.66,49.64
4/24/2017,49.49,49.47
4/21/2017,49.99,49.97
4/20/2017,50.76,50.74
4/19/2017,51.05,51.03
4/18/2017,52.42,52.4
4/17/2017,,
4/13/2017,55.07,55.05
4/12/2017,54.47,54.45
4/11/2017,55.33,55.31
4/10/2017,54.96,54.94
4/7/2017,54.35,54.33
4/6/2017,53.84,53.82
4/5/2017,53.24,53.22
4/4/2017,53.33,53.31
4/3/2017,52.1,52.08
3/31/2017,52.35,52.33
3/30/2017,52.18,52.16
3/29/2017,51.66,51.64
3/28/2017,50.62,50.6
3/27/2017,50.16,50.14
3/24/2017,50.2,50.18
3/23/2017,50.16,50.14
3/22/2017,50.1,50.08
3/21/2017,49.83,49.81
3/20/2017,50.62,50.6
3/17/2017,50.65,50.63
3/16/2017,50.68,50.66
3/15/2017,51.08,51.06
3/14/2017,50.73,50.71
3/13/2017,50,49.98
3/10/2017,50.21,50.19
3/9/2017,51.21,51.19
3/8/2017,51.41,51.39
3/7/2017,54.24,54.22
3/6/2017,54.71,54.69
3/3/2017,54.44,54.42
3/2/2017,53.9,53.88
3/1/2017,55.43,55.41
2/28/2017,53.48,53.46
2/27/2017,54.47,54.45
2/24/2017,54.63,54.61
2/23/2017,55.65,55.63
2/22/2017,55.45,55.43
2/21/2017,55.95,55.93
2/20/2017,55.24,55.22
2/17/2017,54.87,54.85
2/16/2017,54.47,54.45
2/15/2017,54.4,54.38
2/14/2017,54.54,54.52
2/13/2017,54.28,54.26
2/10/2017,55.07,55.05
2/9/2017,54.22,54.2
2/8/2017,54.31,54.29
2/7/2017,53.14,53.12
2/6/2017,54.75,54.73
2/3/2017,55.77,55.75
2/2/2017,55.91,55.89
2/1/2017,55.73,55.71
1/31/2017,55.32,55.3
1/30/2017,54.63,54.61
1/27/2017,54.9,54.88
1/26/2017,55.7,55.68
1/25/2017,54.3,54.28
1/24/2017,54.25,54.23
1/23/2017,54.77,54.75
1/20/2017,55.71,55.69
1/19/2017,53.26,53.24
1/18/2017,52.88,52.86
1/17/2017,54.38,54.36
1/16/2017,54.54,54.52
1/13/2017,54.29,54.27
1/12/2017,54.78,54.76
1/11/2017,53.8,53.78
1/10/2017,52.57,52.55
1/9/2017,53.76,53.74
1/6/2017,56.08,56.06
1/5/2017,55.84,55.82
1/4/2017,55.25,55.23
1/3/2017,54.58,54.56
12/30/2016,55.21,55.19
12/29/2016,55.38,55.36
12/28/2016,54.65,54.63
12/27/2016,,
12/23/2016,53.96,53.94
12/22/2016,53.9,53.88
12/21/2016,52.5,52.48
12/20/2016,54.28,54.26
12/19/2016,53.57,53.55
12/16/2016,54.28,54.26
12/15/2016,52.62,52.6
12/14/2016,51.83,51.81
12/13/2016,52.96,52.94
12/12/2016,52.87,52.85
12/9/2016,52.44,52.42
12/8/2016,52.24,52.22
12/7/2016,51.48,51.46
12/6/2016,52.43,52.41
12/5/2016,52.73,52.71
12/2/2016,52.64,52.62
12/1/2016,52.27,52.25
11/30/2016,47.96,47.94
11/29/2016,44.66,44.64
11/28/2016,46.34,46.32
11/25/2016,45.86,45.84
11/24/2016,47.45,47.43
11/23/2016,46.73,46.71
11/22/2016,46.6,46.58
11/21/2016,46.49,46.47
11/18/2016,44.96,44.94
11/17/2016,44.25,44.23
11/16/2016,44.69,44.67
11/15/2016,44.83,44.81
11/14/2016,42.76,42.74
11/11/2016,42.01,41.99
11/10/2016,43.52,43.5
11/9/2016,44.42,44.4
11/8/2016,43.45,43.43
11/7/2016,43.33,43.31
11/4/2016,43.04,43.02
11/3/2016,44,43.98
11/2/2016,44.98,44.96
11/1/2016,45.54,45.52
10/31/2016,46.15,46.13
10/28/2016,47.16,47.14
10/27/2016,48.98,48.96
10/26/2016,48.63,48.61
10/25/2016,48.44,48.42
10/24/2016,50.01,49.99
10/21/2016,50.48,50.46
10/20/2016,50.39,50.37
10/19/2016,51.41,51.39
10/18/2016,50.59,50.57
10/17/2016,49.74,49.72
10/14/2016,49.25,49.23
10/13/2016,49.69,49.67
10/12/2016,49.26,49.24
10/11/2016,50.37,50.35
10/10/2016,51.24,51.22
10/7/2016,50.15,50.13
10/6/2016,50.34,50.32
10/5/2016,49.39,49.37
