asktime,ask,bidtime,bid
7/14/2017 19:30,48,7/14/2017 19:30,47.98
7/14/2017 16:30,47.93,7/14/2017 16:30,47.91
7/14/2017 16:30,47.92,7/14/2017 16:30,47.9
7/14/2017 16:30,47.93,7/14/2017 16:30,47.91
7/14/2017 16:30,47.94,7/14/2017 16:30,47.92
7/14/2017 16:30,47.95,7/14/2017 16:30,47.93
7/14/2017 16:30,47.93,7/14/2017 16:30,47.91
7/14/2017 16:30,47.94,7/14/2017 16:30,47.92
7/14/2017 16:29,47.93,7/14/2017 16:29,47.91
7/14/2017 16:29,47.94,7/14/2017 16:29,47.92
7/14/2017 16:29,47.95,7/14/2017 16:29,47.93
7/14/2017 16:29,47.97,7/14/2017 16:29,47.95
7/14/2017 16:29,47.96,7/14/2017 16:29,47.94
7/14/2017 16:29,47.98,7/14/2017 16:29,47.96
7/14/2017 16:29,47.99,7/14/2017 16:29,47.97
7/14/2017 16:29,48,7/14/2017 16:29,47.98
7/14/2017 16:29,48.01,7/14/2017 16:29,47.99
7/14/2017 16:29,48.02,7/14/2017 16:29,48
7/14/2017 16:29,48.03,7/14/2017 16:29,48.01
7/14/2017 16:29,48.01,7/14/2017 16:29,47.99
7/14/2017 16:29,48.02,7/14/2017 16:29,48
7/14/2017 16:29,48.03,7/14/2017 16:29,48.01
7/14/2017 16:29,48.02,7/14/2017 16:29,48
7/14/2017 16:29,48.04,7/14/2017 16:29,48.02
7/14/2017 16:29,48.03,7/14/2017 16:29,48.01
7/14/2017 16:29,48.04,7/14/2017 16:29,48.02
7/14/2017 16:29,48.05,7/14/2017 16:29,48.03
7/14/2017 16:29,48.06,7/14/2017 16:29,48.04
7/14/2017 16:29,48.09,7/14/2017 16:29,48.07
7/14/2017 16:29,48.08,7/14/2017 16:29,48.06
7/14/2017 16:29,48.07,7/14/2017 16:29,48.05
7/14/2017 16:29,48.05,7/14/2017 16:29,48.03
7/14/2017 16:29,48.04,7/14/2017 16:29,48.02
7/14/2017 16:29,48.06,7/14/2017 16:29,48.04
7/14/2017 16:29,48.05,7/14/2017 16:29,48.03
7/14/2017 16:29,48.06,7/14/2017 16:29,48.04
7/14/2017 16:29,48.07,7/14/2017 16:29,48.05
7/14/2017 16:28,48.08,7/14/2017 16:28,48.06
7/14/2017 16:28,48.09,7/14/2017 16:28,48.07
7/14/2017 16:28,48.1,7/14/2017 16:28,48.08
7/14/2017 16:28,48.09,7/14/2017 16:28,48.07
7/14/2017 16:28,48.1,7/14/2017 16:28,48.08
7/14/2017 16:28,48.09,7/14/2017 16:28,48.07
7/14/2017 16:28,48.08,7/14/2017 16:28,48.06
7/14/2017 16:28,48.09,7/14/2017 16:28,48.07
7/14/2017 16:28,48.1,7/14/2017 16:28,48.08
7/14/2017 16:27,48.11,7/14/2017 16:27,48.09
7/14/2017 16:27,48.1,7/14/2017 16:27,48.08
7/14/2017 16:27,48.11,7/14/2017 16:27,48.09
7/14/2017 16:27,48.12,7/14/2017 16:27,48.1
7/14/2017 16:27,48.13,7/14/2017 16:27,48.11
7/14/2017 16:27,48.14,7/14/2017 16:27,48.12
7/14/2017 16:27,48.15,7/14/2017 16:27,48.13
7/14/2017 16:27,48.14,7/14/2017 16:27,48.12
7/14/2017 16:26,48.13,7/14/2017 16:26,48.11
7/14/2017 16:26,48.12,7/14/2017 16:26,48.1
7/14/2017 16:26,48.1,7/14/2017 16:26,48.08
7/14/2017 16:26,48.09,7/14/2017 16:26,48.07
7/14/2017 16:26,48.11,7/14/2017 16:26,48.09
7/14/2017 16:26,48.09,7/14/2017 16:26,48.07
7/14/2017 16:26,48.1,7/14/2017 16:26,48.08
7/14/2017 16:26,48.11,7/14/2017 16:26,48.09
7/14/2017 16:26,48.1,7/14/2017 16:26,48.08
7/14/2017 16:26,48.11,7/14/2017 16:26,48.09
7/14/2017 16:26,48.12,7/14/2017 16:26,48.1
7/14/2017 16:26,48.11,7/14/2017 16:26,48.09
7/14/2017 16:26,48.13,7/14/2017 16:26,48.11
7/14/2017 16:26,48.12,7/14/2017 16:26,48.1
7/14/2017 16:26,48.13,7/14/2017 16:26,48.11
7/14/2017 16:26,48.14,7/14/2017 16:26,48.12
7/14/2017 16:26,48.12,7/14/2017 16:26,48.1
7/14/2017 16:26,48.16,7/14/2017 16:26,48.14
7/14/2017 16:26,48.15,7/14/2017 16:26,48.13
7/14/2017 16:26,48.14,7/14/2017 16:26,48.12
7/14/2017 16:26,48.13,7/14/2017 16:26,48.11
7/14/2017 16:26,48.12,7/14/2017 16:26,48.1
7/14/2017 16:26,48.13,7/14/2017 16:26,48.11
7/14/2017 16:26,48.12,7/14/2017 16:26,48.1
7/14/2017 16:26,48.11,7/14/2017 16:26,48.09
7/14/2017 16:25,48.1,7/14/2017 16:25,48.08
7/14/2017 16:25,48.09,7/14/2017 16:25,48.07
7/14/2017 16:25,48.07,7/14/2017 16:25,48.05
7/14/2017 16:25,48.08,7/14/2017 16:25,48.06
7/14/2017 16:25,48.07,7/14/2017 16:25,48.05
7/14/2017 16:25,48.06,7/14/2017 16:25,48.04
7/14/2017 16:25,48.08,7/14/2017 16:25,48.06
7/14/2017 16:25,48.07,7/14/2017 16:25,48.05
7/14/2017 16:25,48.05,7/14/2017 16:25,48.03
7/14/2017 16:25,48.04,7/14/2017 16:25,48.02
7/14/2017 16:25,48.05,7/14/2017 16:25,48.03
7/14/2017 16:25,48.06,7/14/2017 16:25,48.04
7/14/2017 16:25,48.07,7/14/2017 16:25,48.05
7/14/2017 16:25,48.08,7/14/2017 16:25,48.06
7/14/2017 16:25,48.07,7/14/2017 16:25,48.05
7/14/2017 16:25,48.06,7/14/2017 16:25,48.04
