date,ask,bid
7/14/2017,46.58,46.48
7/13/2017,46.11,46.01
7/12/2017,45.53,45.43
7/11/2017,45.11,45.01
7/10/2017,44.45,44.35
7/7/2017,44.3,44.2
7/6/2017,45.57,45.47
7/5/2017,45.16,45.06
7/4/2017,,
7/3/2017,,
6/30/2017,46.07,45.97
6/29/2017,44.93,44.83
6/28/2017,44.79,44.69
6/27/2017,44.3,44.2
6/26/2017,43.26,43.21
6/23/2017,42.88,42.84
6/22/2017,42.54,42.52
6/21/2017,42.53,42.43
6/20/2017,43.39,43.29
6/19/2017,44.29,44.19
6/16/2017,44.78,44.68
6/15/2017,44.52,44.42
6/14/2017,44.84,44.74
6/13/2017,46.46,46.36
6/12/2017,46.15,46.05
6/9/2017,45.87,45.77
6/8/2017,45.73,45.63
6/7/2017,45.85,45.75
6/6/2017,48.18,48.08
6/5/2017,47.45,47.35
6/2/2017,47.73,47.63
6/1/2017,48.37,48.27
5/31/2017,48.34,48.24
5/30/2017,49.68,49.58
5/26/2017,49.63,49.53
5/25/2017,48.62,48.52
5/24/2017,51.04,50.94
5/23/2017,51.17,51.07
5/22/2017,50.86,50.76
5/19/2017,50.37,50.27
5/18/2017,49.41,49.31
5/17/2017,49.09,48.99
5/16/2017,48.69,48.59
5/15/2017,48.91,48.81
5/12/2017,47.88,47.78
5/11/2017,47.86,47.76
5/10/2017,47.33,47.23
5/9/2017,45.89,45.79
5/8/2017,46.51,46.41
5/5/2017,46.28,46.18
5/4/2017,45.6,45.5
5/3/2017,47.84,47.74
5/2/2017,47.7,47.6
5/1/2017,48.88,48.78
4/28/2017,49.36,49.26
4/27/2017,49.01,48.91
4/26/2017,49.64,49.54
4/25/2017,49.23,49.2
4/24/2017,48.92,48.87
4/21/2017,49.69,49.59
4/20/2017,50.31,50.21
4/19/2017,50.54,50.44
4/18/2017,52.51,52.41
4/17/2017,52.67,52.57
4/13/2017,53.24,53.14
4/12/2017,53.17,53.07
4/11/2017,53.43,53.33
4/10/2017,53.11,53.01
4/7/2017,52.3,52.2
4/6/2017,51.74,51.64
4/5/2017,51.19,51.09
4/4/2017,51.04,50.94
4/3/2017,50.3,50.2
3/31/2017,50.59,50.49
3/30/2017,50.35,50.25
3/29/2017,49.52,49.42
3/28/2017,48.41,48.31
3/27/2017,47.07,46.97
3/24/2017,47.35,47.25
3/23/2017,47.05,46.95
3/22/2017,47.39,47.19
3/21/2017,47.07,46.97
3/20/2017,47.84,47.74
3/17/2017,48.39,48.29
3/16/2017,48.35,48.25
3/15/2017,48.39,48.29
3/14/2017,47.29,47.19
3/13/2017,48,47.9
3/10/2017,48.1,48
3/9/2017,48.8,48.7
3/8/2017,49.88,49.78
3/7/2017,52.73,52.63
3/6/2017,53.24,53.14
3/3/2017,53.38,53.28
3/2/2017,52.68,52.58
3/1/2017,53.87,53.77
2/28/2017,54.05,53.95
2/27/2017,54.09,53.99
2/24/2017,54.04,53.94
2/23/2017,54.53,54.43
2/22/2017,53.66,53.56
2/21/2017,54.07,53.97
2/20/2017,,
2/17/2017,53.46,53.36
2/16/2017,53.46,53.36
2/15/2017,53.16,53.06
2/14/2017,53.26,53.16
2/13/2017,53.01,52.91
2/10/2017,53.89,53.79
2/9/2017,53.04,52.94
2/8/2017,52.42,52.32
2/7/2017,52.24,52.14
2/6/2017,53.06,52.96
2/3/2017,53.86,53.76
2/2/2017,53.6,53.5
2/1/2017,53.95,53.85
1/31/2017,52.8,52.7
1/30/2017,52.68,52.58
1/27/2017,53.23,53.13
1/26/2017,53.34,53.14
1/25/2017,52.21,52.06
1/24/2017,52.4,52.35
1/23/2017,52.82,52.72
1/20/2017,52.38,52.28
1/19/2017,51.44,51.34
1/18/2017,51.17,51.07
1/17/2017,52.5,52.4
1/16/2017,,
1/13/2017,52.41,52.31
1/12/2017,53.06,52.96
1/11/2017,52.24,52.14
1/10/2017,50.87,50.77
1/9/2017,52,51.9
1/6/2017,54.03,53.93
1/5/2017,53.82,53.72
1/4/2017,53.31,53.21
1/3/2017,52.41,52.31
12/30/2016,53.8,53.7
12/29/2016,53.85,53.75
12/28/2016,54.06,53.96
12/27/2016,52.92,52.72
12/23/2016,52.13,51.88
12/22/2016,52.1,51.85
12/21/2016,51.45,51.43
12/20/2016,52.27,52.17
12/19/2016,52.18,52.08
12/16/2016,51.98,51.88
12/15/2016,50.95,50.85
12/14/2016,51.06,50.96
12/13/2016,53.04,52.94
12/12/2016,52.79,52.69
12/9/2016,51.56,51.46
12/8/2016,50.89,50.79
12/7/2016,49.9,49.8
12/6/2016,51,50.9
12/5/2016,51.77,51.67
12/2/2016,51.75,51.65
12/1/2016,51.13,51.03
11/30/2016,49.46,49.36
11/29/2016,45.34,45.24
11/28/2016,45.81,45.51
11/25/2016,46.97,46.47
11/24/2016,,
11/23/2016,46.97,46.47
11/22/2016,48.12,48.02
11/21/2016,47.53,47.43
11/18/2016,45.74,45.64
11/17/2016,45.42,45.32
11/16/2016,45.61,45.51
11/15/2016,45.91,45.81
11/14/2016,43.34,43.24
11/11/2016,43.44,43.34
11/10/2016,44.67,44.57
11/9/2016,45.25,45.15
11/8/2016,45.01,44.91
11/7/2016,44.93,44.83
11/4/2016,44.12,44.02
11/3/2016,44.71,44.61
11/2/2016,45.37,45.27
11/1/2016,46.71,46.61
10/31/2016,46.88,46.78
10/28/2016,48.77,48.67
10/27/2016,49.76,49.66
10/26/2016,48.8,48.7
10/25/2016,49.5,49.4
10/24/2016,50.23,50.13
10/21/2016,50.66,50.56
10/20/2016,50.36,50.26
10/19/2016,51.64,51.54
10/18/2016,50.35,50.25
10/17/2016,50.02,49.92
10/14/2016,50.4,50.3
10/13/2016,50.52,50.42
10/12/2016,50.19,50.09
10/11/2016,50.77,50.67
10/10/2016,51.29,51.19
10/7/2016,49.81,49.71
10/6/2016,50.49,50.39
10/5/2016,49.8,49.7
10/4/2016,48.72,48.62
10/3/2016,48.85,48.75
9/30/2016,48.16,48.06
9/29/2016,47.77,47.67
9/28/2016,47.12,47.02
9/27/2016,44.7,44.6
9/26/2016,45.62,45.57
9/23/2016,44.38,44.33
9/22/2016,46.12,46.07
9/21/2016,45.38,45.28
9/20/2016,43.9,43.8
9/19/2016,43.39,43.29
9/16/2016,43.09,42.99
9/15/2016,43.9,43.8
9/14/2016,43.67,43.57
