date,askyield
7/14/2017,1.034
7/13/2017,1.039
7/12/2017,1.05
7/11/2017,1.06
7/10/2017,1.039
7/7/2017,1.034
7/6/2017,1.034
7/5/2017,1.05
7/3/2017,1.026
6/30/2017,1.021
6/29/2017,1.029
6/28/2017,1.011
6/27/2017,1.019
6/26/2017,0.96
6/23/2017,0.958
6/22/2017,0.958
6/21/2017,0.994
6/20/2017,1.019
6/19/2017,1.011
6/16/2017,1.011
6/15/2017,1.019
6/14/2017,1.011
6/13/2017,1.009
6/12/2017,0.998
6/9/2017,1.006
6/8/2017,0.999
6/7/2017,0.999
6/6/2017,0.983
6/5/2017,0.973
6/2/2017,0.978
6/1/2017,0.973
5/31/2017,0.978
5/30/2017,0.935
5/26/2017,0.935
5/25/2017,0.932
5/24/2017,0.93
5/23/2017,0.937
5/22/2017,0.904
5/19/2017,0.914
5/18/2017,0.917
5/17/2017,0.902
5/16/2017,0.915
5/15/2017,0.886
5/12/2017,0.879
5/11/2017,0.884
5/10/2017,0.899
5/9/2017,0.915
5/8/2017,0.894
5/5/2017,0.892
5/4/2017,0.879
5/3/2017,0.871
5/2/2017,0.861
5/1/2017,0.808
4/28/2017,0.803
4/27/2017,0.808
4/26/2017,0.825
4/25/2017,0.831
4/24/2017,0.795
4/21/2017,0.785
4/20/2017,0.792
4/19/2017,0.808
4/18/2017,0.828
4/17/2017,0.815
4/13/2017,0.81
4/12/2017,0.815
4/11/2017,0.823
4/10/2017,0.81
4/7/2017,0.82
4/6/2017,0.81
4/5/2017,0.803
4/4/2017,0.803
4/3/2017,0.764
3/31/2017,0.762
3/30/2017,0.78
3/29/2017,0.777
3/28/2017,0.795
3/27/2017,0.78
3/24/2017,0.769
3/23/2017,0.769
3/22/2017,0.769
3/21/2017,0.775
3/20/2017,0.734
3/17/2017,0.729
3/16/2017,0.734
3/15/2017,0.739
3/14/2017,0.775
3/13/2017,0.749
3/10/2017,0.747
3/9/2017,0.734
3/8/2017,0.729
3/7/2017,0.757
3/6/2017,0.729
3/3/2017,0.706
3/2/2017,0.665
3/1/2017,0.635
2/28/2017,0.541
2/27/2017,0.51
2/24/2017,0.515
2/23/2017,0.515
2/22/2017,0.528
2/21/2017,0.523
2/17/2017,0.525
2/16/2017,0.525
2/15/2017,0.538
2/14/2017,0.553
2/13/2017,0.541
2/10/2017,0.538
2/9/2017,0.543
2/8/2017,0.543
2/7/2017,0.543
2/6/2017,0.52
2/3/2017,0.505
2/2/2017,0.505
2/1/2017,0.518
1/31/2017,0.518
1/30/2017,0.513
1/27/2017,0.515
1/26/2017,0.505
1/25/2017,0.5
1/24/2017,0.51
1/23/2017,0.492
1/20/2017,0.497
1/19/2017,0.52
1/18/2017,0.528
1/17/2017,0.53
1/13/2017,0.53
1/12/2017,0.518
1/11/2017,0.515
1/10/2017,0.52
1/9/2017,0.502
1/6/2017,0.52
1/5/2017,0.525
1/4/2017,0.536
1/3/2017,0.497
12/30/2016,0.502
12/29/2016,0.462
12/28/2016,0.513
12/27/2016,0.515
12/23/2016,0.52
12/22/2016,0.513
12/21/2016,0.515
12/20/2016,0.528
12/19/2016,0.495
12/16/2016,0.505
12/15/2016,0.505
12/14/2016,0.541
12/13/2016,0.543
12/12/2016,0.518
12/9/2016,0.541
12/8/2016,0.51
12/7/2016,0.505
12/6/2016,0.505
12/5/2016,0.472
12/2/2016,0.475
12/1/2016,0.475
11/30/2016,0.485
11/29/2016,0.485
11/28/2016,0.472
11/25/2016,0.502
11/23/2016,0.502
11/22/2016,0.492
11/21/2016,0.442
11/18/2016,0.434
11/17/2016,0.436
11/16/2016,0.469
11/15/2016,0.505
11/14/2016,0.52
11/10/2016,0.475
11/9/2016,0.434
11/8/2016,0.436
11/7/2016,0.408
11/4/2016,0.373
11/3/2016,0.373
11/2/2016,0.36
11/1/2016,0.36
10/31/2016,0.309
10/28/2016,0.289
10/27/2016,0.289
10/26/2016,0.33
10/25/2016,0.345
10/24/2016,0.327
10/21/2016,0.332
10/20/2016,0.332
10/19/2016,0.337
10/18/2016,0.348
10/17/2016,0.309
10/14/2016,0.304
10/13/2016,0.294
10/12/2016,0.358
10/11/2016,0.337
10/7/2016,0.327
10/6/2016,0.327
10/5/2016,0.327
10/4/2016,0.33
10/3/2016,0.307
9/30/2016,0.284
9/29/2016,0.254
9/28/2016,0.282
9/27/2016,0.271
9/26/2016,0.19
9/23/2016,0.185
9/22/2016,0.18
9/21/2016,0.236
9/20/2016,0.302
9/19/2016,0.256
9/16/2016,0.289
9/15/2016,0.294
9/14/2016,0.332
9/13/2016,0.36
9/12/2016,0.37
9/9/2016,0.355
9/8/2016,0.353
9/7/2016,0.34
9/6/2016,0.32
9/2/2016,0.322
9/1/2016,0.335
8/31/2016,0.33
8/30/2016,0.34
8/29/2016,0.322
8/26/2016,0.327
8/25/2016,0.325
8/24/2016,0.315
8/23/2016,0.315
8/22/2016,0.297
8/19/2016,0.309
8/18/2016,0.302
8/17/2016,0.302
8/16/2016,0.302
8/15/2016,0.292
8/12/2016,0.282
8/11/2016,0.294
8/10/2016,0.287
8/9/2016,0.307
8/8/2016,0.269
8/5/2016,0.269
8/4/2016,0.264
8/3/2016,0.282
8/2/2016,0.289
8/1/2016,0.254
7/29/2016,0.259
7/28/2016,0.238
7/27/2016,0.312
7/26/2016,0.322
7/25/2016,0.312
7/22/2016,0.317
7/21/2016,0.32
7/20/2016,0.325
7/19/2016,0.325
7/18/2016,0.302
7/15/2016,0.317
7/14/2016,0.317
7/13/2016,0.312
7/12/2016,0.309
7/11/2016,0.289
7/8/2016,0.287
7/7/2016,0.284
7/6/2016,0.271
7/5/2016,0.254
7/1/2016,0.259
6/30/2016,0.266
6/29/2016,0.264
6/28/2016,0.269
6/27/2016,0.254
6/24/2016,0.259
6/23/2016,0.292
6/22/2016,0.276
6/21/2016,0.279
6/20/2016,0.266
6/17/2016,0.266
6/16/2016,0.264
6/15/2016,0.269
6/14/2016,0.274
6/13/2016,0.261
6/10/2016,0.256
6/9/2016,0.256
6/8/2016,0.249
6/7/2016,0.279
6/6/2016,0.269
6/3/2016,0.289
6/2/2016,0.289
6/1/2016,0.309
5/31/2016,0.302
5/27/2016,0.317
5/26/2016,0.294
5/25/2016,0.325
5/24/2016,0.355
5/23/2016,0.327
5/20/2016,0.317
5/19/2016,0.304
5/18/2016,0.282
5/17/2016,0.287
5/16/2016,0.271
5/13/2016,0.271
5/12/2016,0.271
5/11/2016,0.256
5/10/2016,0.251
5/9/2016,0.213
5/6/2016,0.193
5/5/2016,0.195
5/4/2016,0.21
5/3/2016,0.216
5/2/2016,0.198
4/29/2016,0.205
4/28/2016,0.221
4/27/2016,0.254
4/26/2016,0.254
4/25/2016,0.251
4/22/2016,0.236
4/21/2016,0.233
4/20/2016,0.228
4/19/2016,0.223
4/18/2016,0.21
4/15/2016,0.228
4/14/2016,0.228
4/13/2016,0.236
4/12/2016,0.238
4/11/2016,0.221
4/8/2016,0.231
4/7/2016,0.236
4/6/2016,0.233
4/5/2016,0.231
4/4/2016,0.195
4/1/2016,0.233
3/31/2016,0.213
3/30/2016,0.198
3/29/2016,0.236
3/28/2016,0.276
3/24/2016,0.292
3/23/2016,0.309
3/22/2016,0.309
3/21/2016,0.302
3/18/2016,0.294
3/17/2016,0.287
3/16/2016,0.315
3/15/2016,0.345
3/14/2016,0.322
3/11/2016,0.32
3/10/2016,0.317
3/9/2016,0.304
3/8/2016,0.317
3/7/2016,0.276
3/4/2016,0.276
3/3/2016,0.279
3/2/2016,0.317
3/1/2016,0.335
2/29/2016,0.323
2/26/2016,0.318
2/25/2016,0.328
2/24/2016,0.331
2/23/2016,0.331
2/22/2016,0.308
2/19/2016,0.295
2/18/2016,0.3
2/17/2016,0.31
2/16/2016,0.287
2/12/2016,0.29
2/11/2016,0.287
2/10/2016,0.313
2/9/2016,0.313
2/8/2016,0.275
2/5/2016,0.292
2/4/2016,0.298
2/3/2016,0.346
2/2/2016,0.346
2/1/2016,0.31
1/29/2016,0.315
1/28/2016,0.333
1/27/2016,0.315
1/26/2016,0.315
1/25/2016,0.29
1/22/2016,0.3
1/21/2016,0.285
1/20/2016,0.262
1/19/2016,0.244
1/15/2016,0.237
1/14/2016,0.249
1/13/2016,0.224
1/12/2016,0.219
1/11/2016,0.191
1/8/2016,0.203
1/7/2016,0.203
1/6/2016,0.219
1/5/2016,0.219
1/4/2016,0.168
12/31/2015,0.178
12/30/2015,0.219
12/29/2015,0.229
12/28/2015,0.203
12/24/2015,0.201
12/23/2015,0.198
12/22/2015,0.211
12/21/2015,0.168
12/18/2015,0.188
12/17/2015,0.226
12/16/2015,0.27
12/15/2015,0.265
12/14/2015,0.214
12/11/2015,0.226
12/10/2015,0.244
12/9/2015,0.259
12/8/2015,0.282
12/7/2015,0.249
12/4/2015,0.2212
12/3/2015,0.2111
12/2/2015,0.2085
12/1/2015,0.216
11/30/2015,0.181
11/27/2015,0.173
11/25/2015,0.188
11/24/2015,0.165
11/23/2015,0.117
11/20/2015,0.104
11/19/2015,0.099
11/18/2015,0.135
11/17/2015,0.147
11/16/2015,0.109
11/13/2015,0.125
11/12/2015,0.135
