"Index","spread","long_wti","long_brent","neither","brent","wti","b.spread","w.spread","position_wti","position_brent","cash","trade_made","brentcf","wticf","brent_paid","wti_paid","wti_value","brent_value","portfolio_value","wti_delta","brent_delta","portfolio_returns","log_portfolio_returns","simplemod_portfolio_returns","netcash"
2017-08-02,-3.72279781152918,1,0,0,56.91,51.4,0.0200000000000031,0.100000000000001,0,0,100000,0,0,0,NA,NA,0,0,100000,NA,NA,NA,NA,NA,0
2017-08-02,-4.09180870653884,1,0,0,56.76,50.9,0.0200000000000031,0.100000000000001,100,-87.326069993562,99860.7544721346,1,4955.75447213464,-5095,56.76,50.9,5090,-4956.62773283458,99994.1267393001,5090,-4956.62773283458,-0.0000587326069994015,-0.0000587343318264995,-0.000058732606999401,-139.245527865358
2017-08-02,-4.06814567154205,1,0,0,56.71,50.88,0.019999999999996,0.100000000000001,200,-174.652139987124,99719.1426407696,1,4951.38816863496,-5093,56.71,50.88,10176,-9904.5228586698,99990.6197820998,5086,-4947.89512583522,-0.0000350716318510555,-0.0000350722468750739,-0.0000350716318510136,-141.611831365036
2017-08-02,-4.32292185858003,1,0,0,56.12,50.11,0.0200000000000031,0.0999999999999943,300,-261.978209980686,99603.0084281084,1,4899.86578733876,-5016,56.12,50.11,15033,-14702.2171441161,99933.7912839923,4857,-4797.69428544629,-0.000568338292445509,-0.000568499857871623,-0.000568338292445514,-116.134212661239
2017-08-02,-3.64207189759484,1,0,0,55.89,50.59,0.019999999999996,0.100000000000001,400,-349.304279974248,99418.7892193486,1,4879.78079124024,-5064,55.89,50.59,20236,-19522.6162077607,100132.173011588,5203,-4820.39906364462,0.00198513160610371,0.00198316383611484,0.0019851316061037,-184.219208759756
2017-08-02,-4.80488497160643,1,0,0,55.71,49.27,0.019999999999996,0.100000000000001,500,-436.63034996781,99350.85131799,1,4864.0620986414,-4932,55.71,49.27,24635,-24324.6767967067,99661.1745212833,4399,-4802.06058894597,-0.00470376779149757,-0.00471486532102572,-0.00470376779149762,-67.9379013585976
2017-08-02,-5.40599812364764,1,0,0,55.07,48.11,0.019999999999996,0.0500000000000043,600,-523.956419961372,99345.5247318355,1,4808.17341384552,-4813.5,55.07,48.11,28866,-28854.2800472727,99357.2446845628,4231,-4529.60325056606,-0.00304963129503985,-0.00305429089634648,-0.00304963129503988,-5.32658615448054
2017-08-02,-4.93344824069207,1,0,0,54.38,47.98,0.0200000000000031,0.100000000000001,700,-611.282489954934,99290.4431573855,1,4747.91842554997,-4803,54.38,47.98,33586,-33241.5418037493,99634.9013536362,4720,-4387.26175647655,0.00279452867231691,0.00279063123637605,0.002794528672317,-55.0815744500342
2017-08-02,-4.90511796875387,1,0,0,53.42,47.17,0.0200000000000031,0.100000000000001,800,-698.608559948496,99232.5285557416,1,4664.08539835615,-4722,53.42,47.17,37736,-37319.6692724486,99648.859283293,4150,-4078.12746869935,0.000140090766058386,0.000140080954263459,0.000140090766058476,-57.9146016438544
2017-08-02,-4.21864185974549,1,0,0,53.55,47.97,0.0200000000000031,0.100000000000001,900,-785.934629942058,99105.9663431969,1,4675.43778745531,-4802,53.55,47.97,43173,-42086.7994333972,100192.1669098,5437,-4767.13016094855,0.00545222123378426,0.00543741168117771,0.00545222123378419,-126.562212544692
2017-08-02,-3.82907438871524,1,0,0,54.02,48.77,0.0200000000000031,0.100000000000001,1000,-873.26069993562,98940.4473835492,1,4716.48104035228,-4882,54.02,48.77,48770,-47173.5430105222,100536.904373027,5597,-5086.74357712499,0.00344076262506286,0.00343485674461962,0.00344076262506277,-165.518959647717
2017-08-02,-4.0166787467191,1,0,0,53.96,48.53,0.0200000000000031,0.100000000000001,1100,-960.586769929182,98793.6888597019,1,4711.24147615267,-4858,53.96,48.53,53383,-51833.2621053786,100343.426754323,4613,-4659.71909485647,-0.0019244437643109,-0.00192629788536156,-0.00192444376431089,-146.758523847331
2017-08-02,-4.40623112079507,1,0,0,52.78,47.11,0.019999999999996,0.0999999999999943,1200,-1047.91283992274,98685.8855732622,1,4608.19671356026,-4716,52.78,47.11,56532,-55308.8396911224,99909.0458821397,3149,-3475.57758574376,-0.00432894197690711,-0.00433833897540686,-0.00432894197690714,-107.80328643974
2017-08-02,-3.01770131703457,1,0,0,49.06,45.25,0.019999999999996,0.0999999999999943,1300,-1135.23890991631,98439.2293064464,1,4283.34373318422,-4530,49.06,45.25,58825,-55694.820920494,101569.408385952,2293,-385.981229371544,0.0166187404669178,0.016482160315718,0.0166187404669178,-246.656266815784
2017-08-02,-2.62249260102684,1,0,0,49.18,45.75,0.0200000000000031,0.0999999999999943,1400,-1222.56497990987,98153.0521680298,1,4293.82286158344,-4580,49.18,45.75,64050,-60125.7457119673,102077.306456063,5225,-4430.92479147334,0.00500050239714062,0.00498804140856653,0.00500050239714067,-286.177138416557
2017-08-02,-2.70107096706675,1,0,0,48.56,45.13,0.0200000000000031,0.100000000000001,1500,-1309.89104990343,97874.7328662173,1,4239.68069818743,-4518,48.56,45.13,67695,-63608.3093833105,101961.423482907,3645,-3482.56367134325,-0.00113524716882775,-0.00113589205000746,-0.00113524716882774,-278.319301812566
2017-08-02,-3.11487314606868,1,0,0,48.53,44.69,0.019999999999996,0.100000000000001,1600,-1397.21711989699,97637.7937823049,1,4237.06091608763,-4474,48.53,44.69,71504,-67806.946828601,101334.846953704,3809,-4198.63744529046,-0.00614523128257306,-0.00616419093052041,-0.00614523128257305,-236.939083912373
2017-08-02,-2.9742863761395,1,0,0,47.43,43.87,0.019999999999996,0.100000000000001,1700,-1484.54318989055,97386.7960213996,1,4141.00223909471,-4392,47.43,43.87,74579,-70411.8834965089,101553.912524891,3075,-2604.93666790794,0.00216179900372136,0.00215946567843676,0.00216179900372127,-250.99776090529
2017-08-02,-3.27530567503843,1,0,0,49,44.94,0.019999999999996,0.100000000000001,1800,-1571.86925988412,97165.9001903842,1,4278.1041689846,-4499,49,44.94,80892,-77021.5937343217,101036.306456063,6313,-6609.71023781272,-0.00509685994324689,-0.00510989323866961,-0.00509685994324693,-220.895831015398
2017-08-02,-4.2320449751028,1,0,0,48,43.11,0.0200000000000031,0.0999999999999943,1900,-1659.19532987768,97040.6782893752,1,4190.77809899104,-4316,48,43.11,81909,-79641.3758341285,99308.3024552467,1017,-2619.78209980686,-0.0171028025610505,-0.0172507447322169,-0.0171028025610505,-125.22190100896
2017-08-02,-4.87304917704744,1,0,0,48.86,43.22,0.019999999999996,0.100000000000001,2000,-1746.52139987124,96979.5568085607,1,4265.8785191855,-4327,48.86,43.22,86440,-85335.0355977088,98084.521210852,4531,-5693.65976358023,-0.0123230506829601,-0.0123996090775113,-0.01232305068296,-61.1214808144969
2017-08-02,-4.94105587011246,1,0,0,47.85,42.27,0.019999999999996,0.100000000000001,2100,-1833.8474698648,96925.2359970527,1,4177.67918849201,-4232,47.85,42.27,88767,-87749.6014330308,97942.634564022,2327,-2414.56583532199,-0.00144657531156184,-0.00144762261174881,-0.00144657531156189,-54.3208115079942
2017-08-02,-4.63879937212147,1,0,0,47.71,42.45,0.019999999999996,0.100000000000001,2200,-1921.17353985836,96840.6895357457,1,4165.45353869291,-4250,47.71,42.45,93390,-91659.1895866425,98571.4999491031,4623,-3909.58815361177,0.0064207521870373,0.00640022696908953,0.00642075218703719,-84.5464613070935
2017-08-02,-4.93175159013821,1,0,0,47.45,41.93,0.0200000000000031,0.0999999999999943,2300,-2008.49960985193,96785.4382962402,1,4142.74876049458,-4198,47.45,41.93,96439,-95303.3064874739,97921.1318087664,3049,-3644.11690083134,-0.00659793287788641,-0.00661979545529033,-0.00659793287788646,-55.2512395054191
2017-08-02,-3.89751688216654,1,0,0,47.01,42.58,0.0200000000000031,0.100000000000001,2400,-2095.82567984549,96626.7635859376,1,4104.3252896974,-4263,47.01,42.58,102192,-98524.7652095363,100293.998376401,5753,-3221.45872206248,0.0242324258697191,0.0239434792500164,0.0242324258697191,-158.674710302597
2017-08-02,-4.21677587127792,1,0,0,45.28,40.75,0.0200000000000031,0.0999999999999943,2500,-2183.15174983905,96500.0147745462,1,3953.25118860854,-4080,45.28,40.75,101875,-98853.1112327121,99521.903541834,-317,-328.346023175793,-0.00769831542331771,-0.00772810041480586,-0.00769831542331767,-126.748811391459
2017-08-02,-3.49521509331269,1,0,0,44.74,41,0.0200000000000031,0.0999999999999943,2600,-2270.47781983261,96301.1098853582,1,3906.09511081202,-4105,44.74,41,106600,-101581.177659311,101319.932226047,4725,-2728.06642659887,0.0180666629176495,0.0179054001863476,0.0180666629176496,-198.904889187982
2017-08-02,-3.3640717473629,1,0,0,43.96,40.45,0.019999999999996,0.100000000000001,2700,-2357.80388982617,96089.0906615752,1,3837.98077621704,-4050,43.96,40.45,109215,-103649.058996759,101655.031664817,2615.00000000001,-2067.88133744753,0.00330733974458165,0.00330188252576269,0.00330733974458175,-212.019223782961
2017-08-02,-3.14020918054381,1,0,0,41.15,38.22,0.0200000000000031,0.100000000000001,2800,-2445.12995981973,95854.6851811104,1,3592.59451953513,-3827,41.15,38.22,107016,-100617.097846582,102253.587334528,-2199.00000000001,3031.96115017647,0.00588810666731375,0.00587083951465451,0.00588810666731376,-234.405480464869
2017-08-02,-2.43725696252707,1,0,0,41.41,39.15,0.0200000000000031,0.100000000000001,2900,-2532.4560298133,95549.9844788438,1,3615.29929773346,-3920,41.41,39.15,113535,-104869.004194569,104215.980284275,6519,-4251.90634798651,0.0191914337765663,0.019009600950133,0.0191914337765662,-304.700702266543
2017-08-02,-3.698539452482,1,0,0,42.11,38.5,0.0200000000000031,0.0300000000000011,3000,-2619.78209980686,95374.9120255728,1,3676.42754672895,-3851.5,42.11,38.5,115500,-110319.024222867,100555.887802706,1965,-5450.0200282982,-0.035120261514457,-0.0357518087403272,-0.035120261514457,-175.07245327105
2017-08-02,-3.21284964522513,1,0,0,46.1,42.47,0.0200000000000031,0.100000000000001,3100,-2707.10816980042,95147.770591576,1,4024.85856600326,-4252,46.1,42.47,131657,-124797.686627799,102007.083963777,16157,-14478.6624049326,0.0144317373430981,0.0143285910243932,0.014431737343098,-227.141433996738
2017-08-02,-2.46247750407255,1,0,0,48.47,45.29,0.019999999999996,0.100000000000001,3200,-2794.43423979398,94845.591943464,1,4231.821351888,-4534,48.47,45.29,144928,-135446.227602814,104327.36434065,13271,-10648.5409750149,0.0227462670896173,0.0224914279449997,0.0227462670896172,-302.178648111997
2017-08-02,-0.861736493183921,1,0,0,46.74,45.38,0.019999999999996,0.100000000000001,3300,-2881.76030978754,94383.3391942632,1,4080.74725079914,-4543,46.74,45.38,149754,-134693.47687947,109443.862314793,4826,752.750723344507,0.0490427224581009,0.0478780554276483,0.0490427224581009,-462.252749200859
2017-08-02,-2.52658816499337,1,0,0,49.7,46.3,0.0200000000000031,0.100000000000001,3400,-2969.0863797811,94087.5716122433,1,4339.23241798008,-4635,49.7,46.3,157420,-147563.593075121,103943.978537122,7666,-12870.1161956511,-0.0502530124700073,-0.0515596587751916,-0.0502530124700072,-295.767582019916
2017-08-02,-1.77967952701525,1,0,0,49.36,46.75,0.0200000000000031,0.0999999999999943,3500,-3056.41244977467,93717.1131664255,1,4309.54155418227,-4680,49.36,46.75,163625,-150864.518520878,106477.594645548,6205,-3300.92544575664,0.0243748232854179,0.0240824980062831,0.024374823285418,-370.458445817727
2017-08-02,-1.61022100608155,1,0,0,48.33,46.02,0.0200000000000031,0.100000000000001,3600,-3143.73851976823,93329.7088685144,1,4219.5957020889,-4607,48.33,46.02,165672,-151936.882660398,107064.826208116,2047,-1072.36413952091,0.00551507164040303,0.00549991931803693,0.0055150716404031,-387.404297911096
2017-08-02,-2.03332746505774,1,0,0,48.7,45.92,0.0200000000000031,0.100000000000001,3700,-3231.06458976179,92984.615216501,1,4251.90634798652,-4597,48.7,45.92,169904,-157352.845521399,105535.769695102,4232,-5415.96286100073,-0.0142815952462481,-0.0143845587251401,-0.0142815952462481,-345.093652013477
2017-08-02,-2.27765602617169,1,0,0,46.93,44.13,0.0200000000000031,0.100000000000001,3800,-3318.39065975535,92663.9544205989,1,4097.33920409792,-4418,46.93,44.13,167694,-155732.073662319,104625.88075828,-2210,1620.77185908053,-0.00862161653295619,-0.00865899768114227,-0.00862161653295623,-320.660795902082
2017-08-02,-1.52697540310023,1,0,0,48.04,45.85,0.019999999999996,0.100000000000001,3900,-3405.71672974891,92268.2255623897,1,4194.27114179077,-4590,48.04,45.85,178815,-163610.631697138,107472.593865252,11121,-7878.55803481914,0.0272084983786035,0.0268449272629917,0.0272084983786034,-395.728858209229
